platform,item_id,shop_id,product_name,seller_name,price,original_price,discount_pct,sold_30d,sold_lifetime,rating_avg,review_count,star_5,star_4,star_3,star_2,star_1,category,url,image_url,search_keyword,scraped_at,sold_final,sold_source,has_ratings,product_name_clean,is_authentic,category_derived,is_suspicious
Shopee,26358761587,507737714,HGHMNDS ONLINE -  AURORA TEE,HGHMNDS ONLINE,638,750,15.0,0,0,4.953367875647668,193,187,3,3,0,0,,https://shopee.ph/product/507737714/26358761587,https://down-ph.img.susercontent.com/file/ph-11134207-820l4-moxpe5xndgjv59,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS ONLINE - AURORA TEE,True,T-Shirt,False
Shopee,26231316324,507737714,HGHMNDS CLO. - SNOW SHIRT,HGHMNDS ONLINE,340,400,15.0,0,0,4.935975609756097,656,627,19,8,1,1,,https://shopee.ph/product/507737714/26231316324,https://down-ph.img.susercontent.com/file/ph-11134207-7rask-m7xxk1qw8oxf9c,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - SNOW SHIRT,True,T-Shirt,False
Shopee,25593269708,507737714,HGHMNDS CLO. - COAL SHIRT,HGHMNDS ONLINE,340,400,15.0,0,0,4.964503042596349,987,962,17,7,0,1,,https://shopee.ph/product/507737714/25593269708,https://down-ph.img.susercontent.com/file/ph-11134207-7rasb-m7xxunhpok81de,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - COAL SHIRT,True,T-Shirt,False
Shopee,12012138123,507737714,HGHMNDS ONLINE - COSMIC PROCESS SHIRT,HGHMNDS ONLINE,600,750,20.0,0,0,4.913140311804009,1347,1281,38,14,5,9,,https://shopee.ph/product/507737714/12012138123,https://down-ph.img.susercontent.com/file/5c2e15fd8656fa0112e1b19abdde3b4c,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS ONLINE - COSMIC PROCESS SHIRT,True,T-Shirt,False
Shopee,29511166927,507737714,HGHMNDS CLO. - RAINBOW DRIVE,HGHMNDS ONLINE,638,750,15.0,0,0,4.966244725738397,237,230,6,1,0,0,,https://shopee.ph/product/507737714/29511166927,https://down-ph.img.susercontent.com/file/ph-11134207-7r98p-m04d2zbvcbxqe2,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - RAINBOW DRIVE,True,Other,False
Shopee,23090363589,507737714,HGHMNDS CLO. - NIGHTWALKER,HGHMNDS ONLINE,213,250,15.0,0,0,4.933618843683083,467,448,11,6,0,2,,https://shopee.ph/product/507737714/23090363589,https://down-ph.img.susercontent.com/file/ph-11134207-7r991-m04ezhno64xa21,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - NIGHTWALKER,True,Other,True
Shopee,13399839271,507737714,HGHMNDS CLO. - Diamond Rough Shorts,HGHMNDS ONLINE,638,750,15.0,0,0,4.957446808510638,141,136,4,1,0,0,,https://shopee.ph/product/507737714/13399839271,https://down-ph.img.susercontent.com/file/ph-11134207-7r990-lmtzvhexvk6p1d,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - Diamond Rough Shorts,True,Other,False
Shopee,45700874958,1653773917,HGHMNDS CLO. - Own And Grow Shirt,CF@Spectee,292,399,27.0,0,0,4.142857142857143,7,5,0,0,2,0,,https://shopee.ph/product/1653773917/45700874958,https://down-ph.img.susercontent.com/file/sg-11134201-821ef-mgp4l0k3fkej62,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - Own And Grow Shirt,True,T-Shirt,False
Shopee,20734440931,507737714,HGHMNDS ONLINE - STOREFRONT SHIRT,HGHMNDS ONLINE,600,750,20.0,0,0,4.919023136246786,778,743,20,8,1,6,,https://shopee.ph/product/507737714/20734440931,https://down-ph.img.susercontent.com/file/5e5f4486200bd83092f0bf0d03b3542f,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS ONLINE - STOREFRONT SHIRT,True,T-Shirt,False
Shopee,24315675187,507737714,HGHMNDS CLO. - STARGAZE,HGHMNDS ONLINE,638,750,15.0,0,0,4.946428571428571,168,162,3,3,0,0,,https://shopee.ph/product/507737714/24315675187,https://down-ph.img.susercontent.com/file/ph-11134207-7r98y-ls9l9y98yw39d7,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - STARGAZE,True,Other,False
Shopee,26967589888,507737714,HGHMNDS ONLINE - DIVA NEMESIS SHIRT,HGHMNDS ONLINE,600,750,20.0,0,0,4.974358974358974,156,153,2,1,0,0,,https://shopee.ph/product/507737714/26967589888,https://down-ph.img.susercontent.com/file/ph-11134207-820lg-mq1qf88k737y0f,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS ONLINE - DIVA NEMESIS SHIRT,True,T-Shirt,False
Shopee,45007235303,507737714,HGHMNDS ONLINE - SIGN SIGNALS,HGHMNDS ONLINE,680,800,15.0,0,0,4.952380952380953,42,40,2,0,0,0,,https://shopee.ph/product/507737714/45007235303,https://down-ph.img.susercontent.com/file/ph-11134207-81ztq-mlt4t931yneoc9,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS ONLINE - SIGN SIGNALS,True,Other,False
Shopee,29720161377,507737714,HGHMNDS CLO. - KALM KORNER,HGHMNDS ONLINE,638,750,15.0,0,0,4.936224489795919,392,375,12,3,1,1,,https://shopee.ph/product/507737714/29720161377,https://down-ph.img.susercontent.com/file/ph-11134207-7rase-m3kjxk8wmtqv60,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - KALM KORNER,True,Other,False
Shopee,26673954463,507737714,HGHMNDS CLO. - Nostalgic Shirt,HGHMNDS ONLINE,638,750,15.0,0,0,4.93,200,192,6,0,0,2,,https://shopee.ph/product/507737714/26673954463,https://down-ph.img.susercontent.com/file/ph-11134207-7rasm-m57kynhlp937a3,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - Nostalgic Shirt,True,T-Shirt,False
Shopee,26467616420,507737714,HGHMNDS CLO. - DEFENDER QUEEN,HGHMNDS ONLINE,620,750,17.0,0,0,4.949416342412452,257,248,7,1,0,1,,https://shopee.ph/product/507737714/26467616420,https://down-ph.img.susercontent.com/file/ph-11134207-820l6-mq1qalm2jh8hf6,hghmnds,20260704_235616,0,sold_30d,True,HGHMNDS CLO. - DEFENDER QUEEN,True,Other,False
