platform,item_id,product_name_clean,category_derived,price,original_price,discount_pct,sold_final,sold_source,rating_avg,review_count,has_ratings,is_suspicious,is_authentic,seller_name,url,image_url
Lazada,4876877463,LEGIT HIGHMINDS CLOTHING “Own The Throne Collection”,T-Shirt,199.0,5050.0,96.1,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i4876877463.html,https://img.lazcdn.com/g/p/2c0f4da7771934d8a4d2f6939914925a.jpg_200x200q80.jpg
Lazada,15440917621,₪LEGIT HIGHMINDS CLOTHING .2026,T-Shirt,199.0,6666.0,97.0,7,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i15440917621.html,https://img.lazcdn.com/g/p/64ec9ffb03bd1fd3f02ff5688ad1cfd0.jpg_200x200q80.jpg
Lazada,4574780726,HGHMNDS ONLINE - STEEL WORKS SHIRT,T-Shirt,199.0,6666.0,97.0,23,sold_lifetime,,5,True,True,True,,https://www.lazada.com.ph/products/pdp-i4574780726.html,https://img.lazcdn.com/g/p/a8a4be6b6eb7db4b1b51124913d649f5.jpg_200x200q80.jpg
Lazada,1011528366,Sando Tanktop HIghminds Design,Tanktop,69.0,,,1200,sold_lifetime,,172,True,True,True,,https://www.lazada.com.ph/products/pdp-i1011528366.html,https://img.lazcdn.com/g/p/9c8e615e91e9d0cd795eda842213c7df.jpg_200x200q80.jpg
Lazada,4574828612,HGHMNDS ONLINE - SKILLS SHIRT,T-Shirt,207.0,5959.0,96.5,15,sold_lifetime,,7,True,True,True,,https://www.lazada.com.ph/products/pdp-i4574828612.html,https://img.lazcdn.com/g/p/ca33c344d995b665d21c179a0542e00c.jpg_200x200q80.jpg
Lazada,4694144206,HGHMNDS CLO. - STEEL WORKS，,T-Shirt,207.0,7676.0,97.3,177,sold_lifetime,,114,True,True,True,,https://www.lazada.com.ph/products/pdp-i4694144206.html,https://img.lazcdn.com/g/p/42bad4101fec87aaabd4e5c5dd9ea9f4.jpg_200x200q80.jpg
Lazada,3660744522,1 Men T-Shirt Cotton Casual Graphic,T-Shirt,207.0,6565.0,96.8,76,sold_lifetime,,25,True,True,False,,https://www.lazada.com.ph/products/pdp-i3660744522.html,https://img.lazcdn.com/g/p/c6bd4657dccc4f16799c0f1da187e18e.jpg_200x200q80.jpg
Lazada,4670494418,HGHMNDS ONLINE - CHEF GELATO SHIRT,T-Shirt,207.0,6565.0,96.8,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i4670494418.html,https://img.lazcdn.com/g/p/0c8cb262bd97353c87aa3e332330dbf5.jpg_200x200q80.jpg
Lazada,4638741776,HGHMNDS CLO. - Vessel,T-Shirt,207.0,7272.0,97.2,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i4638741776.html,https://img.lazcdn.com/g/p/1c035512acfc00d256125e1ba822a32d.jpg_200x200q80.jpg
Lazada,5309116792,HGHMNDS CLO. - Own And Grow Shirt..、,T-Shirt,199.0,4949.0,96.0,21,sold_lifetime,,12,True,True,True,,https://www.lazada.com.ph/products/pdp-i5309116792.html,https://img.lazcdn.com/g/p/05d0fd0dce5e6f55a5253a701f7ce811.jpg_200x200q80.jpg
Lazada,4575006145,HGHMNDS ONLINE - PEACE OVER ALL SHIRT,T-Shirt,199.0,6666.0,97.0,0,sold_lifetime,,1,True,True,True,,https://www.lazada.com.ph/products/pdp-i4575006145.html,https://img.lazcdn.com/g/p/61326064334a99821f60e3a20cfd7bd3.jpg_200x200q80.jpg
Lazada,15416536849,（COD）HGHMNDS - DECLINE SHIRT-PRINT TEE-PURE COTTON TEE-high quality fabric and print-pure cotton t shirt-403,T-Shirt,364.24,4242.0,91.4,12,sold_lifetime,,4,True,True,True,,https://www.lazada.com.ph/products/pdp-i15416536849.html,https://img.lazcdn.com/g/p/7a28a40dc35752aa307e1511dd62bc83.jpg_200x200q80.jpg
Lazada,3558442053,Legit High Minds Clothing X Nick Automatic Collaboration Shirt,T-Shirt,199.0,6060.0,96.7,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i3558442053.html,https://img.lazcdn.com/g/p/78be4abfbddacf7d49275783dca6895b.jpg_200x200q80.jpg
Lazada,2345368724,HIGH MINDS Logo Shirt,T-Shirt,100.0,,,8,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i2345368724.html,https://img.lazcdn.com/g/p/49ea4738553958394425aa1ef4082ffb.jpg_200x200q80.jpg
Lazada,2706587938,HIGH MINDS T-SHIRTS WITH FREE STICKER,Accessories,207.0,4848.0,95.7,9,sold_lifetime,,1,True,True,True,,https://www.lazada.com.ph/products/pdp-i2706587938.html,https://img.lazcdn.com/g/p/b72fa9cddd29ce8f583ae8d35d8db8ad.jpg_200x200q80.jpg
Lazada,15432795010,High Minds Clothing-HGHMNDS- COTTON PRINT TEE-streetwear T SHIRT-100% COTTON T SHIRT,T-Shirt,364.24,4242.0,91.4,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i15432795010.html,https://img.lazcdn.com/g/p/cb9a9faa61b904f4815b1020d5f83747.jpg_webp_200x200q80.jpg
Lazada,15389465328,HIGHMINDS CLOTHING V7 INSPIRED OVERSIZED TSHIRT DESIGN Men's Tops - T-shirts Menswear Print .C,T-Shirt,207.0,7676.0,97.3,0,sold_lifetime,,2,True,True,True,,https://www.lazada.com.ph/products/pdp-i15389465328.html,https://img.lazcdn.com/g/p/d32dda1ac467f222dde221d27e74bb9a.jpg_200x200q80.jpg
